Week,Tier 4,Tier 5,Spend,RB Conv,RB CPO,AOV,ROAS
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - 21df dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - 21df - 21day-ugc-starr2 - dp (buy now)_6.21.24,0.0,1.3512431470739,0.0,98.57111365030192,
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - 21df dp)_cpa_conversion_6.21.24 ad set Total,,1540.5399990081764,12.52799131620484,122.96783739109894,70.39968180601844,0.5725048378472526
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - p90x - p90x-breakcycle-mgfx - dp (buy now)_6.21.24,364.73000717163,0.0,,,
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_static_get-offer_andg - p90x - june - getfitfemale-static - dp (try now)_7.12.24,325.899997711181,2.05202158147703,158.8189913073919,52.60775641621848,0.3312434865827658
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - p90x - p90x-simplecommit-mgfx - dp (buy now)_6.21.24,206.040000915527,0.0,,,
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_static_get-offer_andg - p90x - june - p90x-finallyreadym-static-alttags - dp (try now)_7.12.24,170.369999885559,12.947229377645,13.15879984174251,70.93942840491665,5.391025721044993
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_static_get-offer_andg - p90x - june - getfitmale-static - dp (try now)_7.12.24,117.540001869201,0.0,,,
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_static_get-offer_andg - p90x - june - p90x-tiredprogressm-static-alttags - dp (try now)_7.12.24,95.600001335144,0.925583236056929,103.28622819748652,51.142125383790585,0.4951495109880983
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - p90x - p90x-nogym1-mgfx - dp (buy now)_6.21.24,0.0,0.134589316519089,0.0,92.28071025985078,
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set Total,,1280.180008888242,16.059423511698046,79.71519076981374,67.63490568878636,0.8484569256578647
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - l4 dp)_cpa_conversion_7.3.24 ad set,bodi_video_get-offer_andg - l4 - july - liift4 - itstime - 001 - dp (buy now)_7.12.24,495.850006103515,4.66864364657026,106.20857868811272,58.91503774821435,0.5547107255923419
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - l4 dp)_cpa_conversion_7.3.24 ad set,bodi_video_get-offer_andg - l4 - july - liift4 - itstime - 003 - dp (buy now)_7.12.24,356.780002593994,1.61040676913943,221.5465119937681,83.99924721323933,0.3791494908103187
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - l4 dp)_cpa_conversion_7.3.24 ad set,bodi_video_get-offer_andg - l4 - july - liift4 - couldbeyou - 004 - dp (buy now)_7.3.24,179.369998455047,0.282020853724513,636.016791262753,29.18086784904963,0.0458806563756181
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - l4 dp)_cpa_conversion_7.3.24 ad set,bodi_video_get-offer_andg - l4 - july - liift4 - itstime - 002 - dp (buy now)_7.12.24,79.1800013780593,0.0,,,
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - l4 dp)_cpa_conversion_7.3.24 ad set,bodi_video_get-offer_andg - l4 - july - liift4 - calendar - 003 - dp (buy now)_7.3.24,51.2599999904632,0.0,,,
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - l4 dp)_cpa_conversion_7.3.24 ad set,bodi_video_get-offer_andg - l4 - july - liift4 - calendar - 001 - dp (buy now)_7.3.24,30.6900004148483,0.0,,,
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - l4 dp)_cpa_conversion_7.3.24 ad set,bodi_video_get-offer_andg - l4 - july - liift4 - couldbeyou - 002 - dp (buy now)_7.3.24,5.83999991416931,0.0,,,
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - l4 dp)_cpa_conversion_7.3.24 ad set,bodi_video_get-offer_andg - l4 - july - liift4 - couldbeyou - 003 - dp (buy now)_7.3.24,0.0,0.82406912405254,0.0,57.0130900512708,
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - l4 dp)_cpa_conversion_7.3.24 ad set Total,,1198.9700088500963,7.385140393486743,162.3489798389638,63.03720560780848,0.3882821171425651
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg infl - erin t dp)_cpa_conversion_7.10.24 ad set,bodi_video_learn-more_andg infl - erin t - dp_7.10.24,181.080001831054,9.2067999631096,19.66807170315604,82.86676661134392,4.213263397755799
